strategy,dimension,NThreads,Tempo (s)
1,10000,1,9.7e-05
1,10000,2,0.0001
1,10000,4,9.5e-05
1,10000,8,9.9e-05
2,10000,1,8.6e-05
2,10000,2,0.000133
2,10000,4,0.000351
2,10000,8,0.000472
3,10000,1,0.000118
3,10000,2,0.000342
3,10000,4,0.002213
3,10000,8,0.00694
